Source,Target,Type,edgeid,weight
37,85,undirected,2982,0.2691
37,88,undirected,2985,0.2679
38,39,undirected,2998,0.3677
38,43,undirected,3002,0.2675
38,59,undirected,3018,0.2669
38,61,undirected,3020,0.3494
38,62,undirected,3021,0.3336
39,59,undirected,3079,0.2577
39,61,undirected,3081,0.2625
39,74,undirected,3094,0.2528
40,85,undirected,3165,0.2900
40,96,undirected,3176,0.2811
41,42,undirected,3181,0.4399
41,78,undirected,3217,0.2808
41,79,undirected,3218,0.2711
41,80,undirected,3219,0.3060
41,81,undirected,3220,0.3215
41,83,undirected,3222,0.3223
41,87,undirected,3226,0.2843
41,88,undirected,3227,0.3144
41,89,undirected,3228,0.3106
41,93,undirected,3232,0.2579
41,97,undirected,3236,0.2778
41,98,undirected,3237,0.4201
41,99,undirected,3238,0.3412
42,87,undirected,3284,0.2639
42,99,undirected,3296,0.2704
43,44,undirected,3298,0.2713
43,46,undirected,3300,0.4051
43,60,undirected,3314,0.2820
43,79,undirected,3333,0.2720
43,90,undirected,3344,0.4152
43,91,undirected,3345,0.3859
44,45,undirected,3355,0.4420
44,51,undirected,3361,0.3870
44,52,undirected,3362,0.2711
44,61,undirected,3371,0.3092
44,62,undirected,3372,0.3101
44,86,undirected,3396,-0.2716
44,92,undirected,3402,0.2509
45,52,undirected,3417,0.2655
46,91,undirected,3510,0.2992
47,48,undirected,3520,0.2942
47,57,undirected,3529,0.3591
47,58,undirected,3530,0.3179
47,66,undirected,3538,0.2695
47,73,undirected,3545,0.2691
48,49,undirected,3573,0.4115
48,55,undirected,3579,0.3612
48,57,undirected,3581,0.3060
48,58,undirected,3582,0.3179
48,59,undirected,3583,0.2663
48,62,undirected,3586,0.3262
48,63,undirected,3587,0.2535
48,66,undirected,3590,0.3399
48,67,undirected,3591,0.3189
48,72,undirected,3596,0.2927
48,73,undirected,3597,0.2974
48,74,undirected,3598,0.2846
49,54,undirected,3629,0.3701
49,55,undirected,3630,0.2962
49,56,undirected,3631,0.2536
49,58,undirected,3633,0.3002
49,59,undirected,3634,0.4283
49,60,undirected,3635,0.2638
49,62,undirected,3637,0.2905
49,63,undirected,3638,0.2595
49,64,undirected,3639,0.2627
49,67,undirected,3642,0.2882
49,70,undirected,3645,0.2529
49,77,undirected,3652,0.2876
50,53,undirected,3678,0.5979
50,68,undirected,3693,0.2829
50,90,undirected,3715,0.2714
50,92,undirected,3717,0.3177
51,52,undirected,3726,0.2936
51,86,undirected,3760,-0.2887
52,60,undirected,3782,0.2683
53,60,undirected,3829,0.4096
53,68,undirected,3837,0.4531
53,90,undirected,3859,0.2527
54,55,undirected,3870,0.4537
54,56,undirected,3871,0.3392
54,58,undirected,3873,0.3372
54,59,undirected,3874,0.3881
54,62,undirected,3877,0.3428
54,63,undirected,3878,0.4185
54,70,undirected,3885,0.3042
54,95,undirected,3910,-0.2609
54,96,undirected,3911,-0.2651
55,56,undirected,3916,0.4726
55,57,undirected,3917,0.3194
55,58,undirected,3918,0.4151
55,62,undirected,3922,0.2822
55,63,undirected,3923,0.5898
55,64,undirected,3924,0.3360
55,66,undirected,3926,0.2838
55,70,undirected,3930,0.3399
55,72,undirected,3932,0.3072
55,75,undirected,3935,0.2778
55,76,undirected,3936,0.3177
56,57,undirected,3961,0.3740
56,58,undirected,3962,0.2867
56,63,undirected,3967,0.4161
56,64,undirected,3968,0.4841
56,65,undirected,3969,0.2697
56,71,undirected,3975,0.2524
56,72,undirected,3976,0.3604
56,77,undirected,3981,0.2598
